Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
HR2225-7,Aaron West And The Roaring Twenties,Bittersweet,Hopeless Records,"7"", EP, Ltd",,2016,8546842,Uncategorized,2022-01-20 16:35:48,Mint (M),Mint (M),
HR2257-1,Emarosa,131,Hopeless Records,"LP, Album, Cle",,2016,8735903,Uncategorized,2021-04-03 19:21:17,Near Mint (NM or M-),Near Mint (NM or M-),
HR2532-1,Hands Like Houses,-Anon.,Hopeless Records,"LP, Album, Ltd, Cle",,2018,12673240,Uncategorized,2021-04-03 20:12:42,Near Mint (NM or M-),Near Mint (NM or M-),
HR2553-1,Stand Atlantic,Skinny Dipping,Hopeless Records,"LP, Album, Hal",,2020,16674297,Uncategorized,2021-04-03 20:17:38,Near Mint (NM or M-),Near Mint (NM or M-),
HR2637-1,Aaron West And The Roaring Twenties,Routine Maintenance ,Hopeless Records,"LP, Blu",,2023,28011864,Uncategorized,2023-09-21 08:09:21,,,
HR2817-1,Stand Atlantic,Pink Elephant,Hopeless Records,"LP, Album, Ltd, Hot",,2020,15711745,Uncategorized,2021-04-03 20:16:42,Near Mint (NM or M-),Near Mint (NM or M-),
HR2825-1,Neck Deep (2),All Distortions Are Intentional,Hopeless Records,"LP, Album, Ltd, Opa",,2020,15816514,VNYL Suggestions,2021-04-03 21:26:07,Near Mint (NM or M-),Near Mint (NM or M-),
HR764-1,Silverstein,This Is How The Wind Shifts,Hopeless Records,"LP, Album, Cle",,2013,4504934,Favorite Bands,2022-02-10 19:09:16,,,
HR800-1,Aaron West And The Roaring Twenties,We Don't Have Each Other,Hopeless Records,"LP, Album, RE, RP, Bon",,2023,28011765,Uncategorized,2023-09-21 08:09:04,,,
HR9725-1,Silverstein,Rescue,Hopeless Records,"LP, Album, RE, Gre",,2016,9562676,Favorite Bands,2022-02-10 19:11:30,,,
HR8755-7,Enter Shikari,"Live In London, March 2012","Hopeless Records, Ambush Reality","7"", Single, Ltd, Pur",,2012,3978342,Uncategorized,2022-01-20 16:36:30,Near Mint (NM or M-),Near Mint (NM or M-),
